,product_url,product_name,price,rating,number_of_reviews,ASIN,product_description,manufacturer
236,https://www.amazon.in//Half-Moon-Curiosity-Backpack-Resistant/dp/B09S3ZK3N1/ref=sr_1_231?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-231,Half Moon Curiosity 35L Travel Laptop College School Backpack Water Resistant Slim Durable Fits 15.6 Inch Laptop Notebook with Rain cover (Navy Blue),₹849,162,162,,,
237,https://www.amazon.in//Genie-Spritz-Daypack-Fashion-Backpack/dp/B083ZDT8SD/ref=sr_1_232?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-232,"Genie Spritz Daypack 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags for Travelling Purpose. Latest Collection of Backpack for women (Rose)",₹349,"2,289","2,289",,,
238,https://www.amazon.in//Lenovo-GX40Q17226-15-6-Inch-Casual-Backpack/dp/B075Y7H8V6/ref=sr_1_233?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-233,Lenovo Casual Laptop Backpack B210 39.62 cm (15.6-inch) Water Repellent Blue,"₹1,049","53,084","53,084",,,
239,https://www.amazon.in//F-Gear-String-LTR-Gym-Bag/dp/B07L4ZNBPQ/ref=sr_1_234?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-234,F Gear String 13 Ltr Gym Bag (Black),₹189,33,33,,,
240,https://www.amazon.in//American-Tourister-Polypropylene-LG4-08/dp/B0BB2LX7LW/ref=sr_1_235?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-235,American Tourister Polypropylene Hard 68 cms Luggage- Suitcase(LG4 (0) 08 002_Iron Grey),"₹2,699",152,152,,,
241,https://www.amazon.in//F-Gear-Trail-Marpat-ACV-Camo/dp/B08NYJGHM6/ref=sr_1_236?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-236,F Gear Trail Sports Waist Bag (Marpat ACV Camo),₹560,935,935,,,
242,https://www.amazon.in//Fashion-Lightweight-Crossbody-Shoulder-Adjustable/dp/B08YQNDDSG/ref=sr_1_237?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-237,PALAY® Stylish Chest Bag for Women Lightweight Crossbody Shoulder Bag Fanny Pack Waist Daypack with Adjustable Strap,₹669,312,312,,,
243,https://www.amazon.in//VISMIINTREND-Fashion-Backpack-Girlfriend-Valentine/dp/B0BC9LX3KW/ref=sr_1_238?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-238,VISMIINTREND Fashion Vegan Leather Anti Theft Backpack Purse Bags for Women and Girls | Sling | Casual | Bagpack | College | Work Bag | Gifts for Women | Gift for Sister | Valentine | Girlfriend | Wife,"₹1,310",948,948,,,
244,https://www.amazon.in//Wildcraft-Typo_Blk-Casual-Backpack-11619-Typo_Blk/dp/B079MBFH5V/ref=sr_1_239?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-239,Wildcraft 35 ltrs (19 Cms) Casual Backpack(11619-Typo_Blk_Black),"₹1,298",340,340,,,
245,https://www.amazon.in//Isle-Locada-Hidesign-Womens-Shoulder/dp/B07Z5BYH24/ref=sr_1_240?crid=2M096C61O4MLT&keywords=bags&qid=1675444889&sprefix=ba%2Caps%2C283&sr=8-240,Isle Locada by Hidesign Women's SLING BAG(BORDEX/MARSALA),"₹2,999",142,142,,,
